id,information_group_id,type_code,name,description,confidentiality_impact_level,integrity_impact_level,availability_impact_level,confidentiality_impact_description,integrity_impact_description,availability_impact_description
,1,C.2.1.1,Corrective action,,1,1,1,,,
,1,C.2.1.2,Program evaluation,,1,1,1,,,
,1,C.2.1.3,Program monitoring,,1,1,1,,,
,2,C.2.2.1,Policy and guidance development,,1,1,1,,,
,2,C.2.2.2,Public comment tracking,,1,1,1,,,
,2,C.2.2.3,Regulatory creation,,1,1,1,,,
,2,C.2.2.4,Rule publication,,1,1,1,,,
,3,C.2.3.1,Budget formulation,,1,1,1,,,
,3,C.2.3.2,Capital planning,,1,1,1,,,
,3,C.2.3.3,Enterprise architecture,,1,1,1,,,
,3,C.2.3.4,Strategic planning,,1,1,1,,,
,3,C.2.3.5,Budget execution,,1,1,1,,,
,3,C.2.3.6,Workforce planning,,1,1,1,,,
,3,C.2.3.7,Management improvement,,1,1,1,,,
,3,C.2.3.8,Budget and performance integration,,1,1,1,,,
,3,C.2.3.9,Tax and fiscal policy,,1,1,1,,,
,4,C.2.4.1,Contingency planning,,2,2,2,,,
,4,C.2.4.2,Continuity of operations,,2,2,2,,,
,4,C.2.4.3,Service recovery,,1,1,1,,,
,5,C.2.5.1,Debt collection,,2,1,1,,,
,5,C.2.5.2,User fee collection,,1,1,2,,,
,5,C.2.5.3,Federal asset sales,,1,2,1,,,
,6,C.2.6.1,Customer services,,1,1,1,,,
,6,C.2.6.2,Official information dissemination,,1,1,1,,,
,6,C.2.6.3,Product outreach,,1,1,1,,,
,6,C.2.6.4,Public relations,,1,1,1,,,
,7,C.2.7.1,Legislation tracking,,1,1,1,,,
,7,C.2.7.2,Legislation testimony,,1,1,1,,,
,7,C.2.7.3,Proposal development,,2,1,1,,,
,7,C.2.7.4,Congressional liaison operations,,2,1,1,,,
,8,C.2.8.1,Central fiscal operations,,2,1,1,,,
,8,C.2.8.2,Legislative functions,,1,1,1,,,
,8,C.2.8.3,Executive functions,,1,1,1,,,
,8,C.2.8.4,Central property management,,1,1,1,,,
,8,C.2.8.5,Central personnel management,,1,1,1,,,
,8,C.2.8.6,Taxation management,,2,2,2,,,
,8,C.2.8.7,Central records and statistics management,,2,2,2,,,
,8,C.2.8.8,Income information,,2,2,2,,,
,8,C.2.8.9,Personal identity and authentication information,,2,2,2,,,
,8,C.2.8.10,Entitlement event information,,2,2,2,,,
,8,C.2.8.11,Representative payee information,,2,2,2,,,
,8,C.2.8.12,General information,,1,1,1,,,
,9,C.3.1.1,"Facilities, fleet, and equipment management",,1,1,1,,,
,9,C.3.1.2,Help desk services,,1,1,1,,,
,9,C.3.1.3,Security management,,2,2,1,,,
,9,C.3.1.4,Travel,,1,1,1,,,
,9,C.3.1.5,Workplace policy development and management,,1,1,1,,,
,10,C.3.2.1,Assets and liability management,,1,1,1,,,
,10,C.3.2.2,Reporting and information,,1,2,1,,,
,10,C.3.2.3,Funds control,,2,2,1,,,
,10,C.3.2.4,Accounting,,1,2,1,,,
,10,C.3.2.5,Payments,,1,2,1,,,
,10,C.3.2.6,Colelctions and receivables,,1,2,1,,,
,10,C.3.2.7,Cost accounting / performance measurement,,1,2,1,,,
,11,C.3.3.1,HR strategy,,1,1,1,,,
,11,C.3.3.2,Staff acquisition,,1,1,1,,,
,11,C.3.3.3,Organization and position management,,1,1,1,,,
,11,C.3.3.4,Compensation management,,1,1,1,,,
,11,C.3.3.5,Benefits management,,1,1,1,,,
,11,C.3.3.6,Employee performance management,,1,1,1,,,
,11,C.3.3.7,Employee relations,,1,1,1,,,
,11,C.3.3.8,Labor relations,,1,1,1,,,
,11,C.3.3.9,Separation management,,1,1,1,,,
,11,C.3.3.10,Human resources development,,1,1,1,,,
,12,C.3.4.1,Goods acquisition,,1,1,1,,,
,12,C.3.4.2,Inventory control,,1,1,1,,,
,12,C.3.4.3,Logistics management,,1,1,1,,,
,12,C.3.4.4,Services acquisition,,1,1,1,,,
,13,C.3.5.1,System development,,1,2,1,,,
,13,C.3.5.2,Lifecycle / change management,,1,2,1,,,
,13,C.3.5.3,System maintenance,,1,2,1,,,
,13,C.3.5.4,IT infrastructure maintenance,,1,1,1,,,
,13,C.3.5.5,Information security,,1,2,1,,,
,13,C.3.5.6,Record retention,,1,1,1,,,
,13,C.3.5.7,Information management,,1,2,1,,,
,13,C.3.5.8,System and network monitoring,,2,2,1,,,
,13,C.3.5.9,Information sharing,,0,0,0,,,
,15,D.2.1,Border and transportation security,,2,2,2,,,
,15,D.2.2,Key asset and critical infrastructure protection,,3,3,3,,,
,15,D.2.3,Catastrophic defense,,3,3,3,,,
,15,D.2.4,Executive functions of the Executive Office of the President (EOP),,3,2,3,,,
,16,D.3.1,Intelligence planning,,3,3,3,,,
,16,D.3.2,Intelligence collection,,3,3,3,,,
,16,D.3.3,Intelligence analysis and production,,3,3,3,,,
,16,D.3.4,Intelligence dissemination,,3,3,3,,,
,16,D.3.5,Intelligence processing,,3,3,3,,,
,17,D.4.1,Disaster monitoring and prediction,,1,3,3,,,
,17,D.4.2,Disaster preparedness and planning,,1,1,1,,,
,17,D.4.3,Disaster repair and restoration,,1,1,1,,,
,17,D.4.4,Emergency response,,1,3,3,,,
,18,D.5.1,Foreign affairs,,3,3,2,,,
,18,D.5.2,International development and humanitarian aid,,2,1,1,,,
,18,D.5.3,Global trade,,3,3,3,,,
,19,D.6.1,Water resource management,,1,1,1,,,
,19,D.6.2,"Conservation, marine, and land management",,1,1,1,,,
,19,D.6.3,Recreational resource management and tourism,,1,1,1,,,
,19,D.6.4,Agricultural innovation and services,,1,1,1,,,
,20,D.7.1,Energy supply,,1,2,2,,,
,20,D.7.2,Energy conservation and preparedness,,1,1,1,,,
,20,D.7.3,Energy resource management,,2,1,1,,,
,20,D.7.4,Energy production,,1,1,1,,,
,21,D.8.1,Environmental monitoring and forecasting,,1,2,1,,,
,21,D.8.2,Environmental remediation,,2,1,1,,,
,21,D.8.3,Pollution prevention and control,,1,1,1,,,
,22,D.9.1,Business and industry development,,1,1,1,,,
,22,D.9.2,Intellectual property protection,,1,1,1,,,
,22,D.9.3,Financial sector oversight,,2,1,1,,,
,22,D.9.4,Industry sector income stabilization,,2,1,1,,,
,23,D.10.1,Homeownership promotion,,1,1,1,,,
,23,D.10.2,Community and regional development,,1,1,1,,,
,23,D.10.3,Social services,,1,1,1,,,
,23,D.10.4,Postal services,,1,2,2,,,
,24,D.11.1,Ground transportation,,1,1,1,,,
,24,D.11.2,Water transportation,,1,1,1,,,
,24,D.11.3,Air transportation,,1,1,1,,,
,24,D.11.4,Space operations,,1,3,3,,,
,25,D.12.1,"Elementary, secondary, and vocational education",,1,1,1,,,
,25,D.12.2,Higher education,,1,1,1,,,
,25,D.12.3,Cultural and historic preservation,,1,1,1,,,
,25,D.12.4,Cultural and historic exhibition,,1,1,1,,,
,26,D.13.1,Training and employment,,1,1,1,,,
,26,D.13.2,Labor rights management,,1,1,1,,,
,26,D.13.3,Worker safety,,1,1,1,,,
,27,D.14.1,Access to care,,1,2,1,,,
,27,D.14.2,Population health management and consumer safety,,1,2,1,,,
,27,D.14.3,Health care administration,,1,2,1,,,
,27,D.14.4,Health care delivery services,,1,3,1,,,
,27,D.14.5,Health care research and practitioner education,,1,2,1,,,
,28,D.15.1,General retirement and disability,,2,2,2,,,
,28,D.15.2,Unemployment compensation,,1,1,1,,,
,28,D.15.3,Housing assistance,,1,1,1,,,
,28,D.15.4,Food and nutrition assistance,,1,1,1,,,
,28,D.15.5,Survivor compensation,,1,1,1,,,
,29,D.16.1,Criminal apprehension,,1,1,2,,,
,29,D.16.2,Criminal investigation and surveillance,,2,2,2,,,
,29,D.16.3,Citizen protection,,2,2,2,,,
